,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,WTD,TS_1,TS_2,TA_F,P_F,VPD_F,SW_IN_F,NETRAD_F,RH_F,WS_F,PA_F,LW_IN_F,G_F
NEE_F_ANNOPTLM,1.0,-0.3913297227501244,0.25595079655300657,-0.42576557953984834,-0.41126268808270083,-0.3679058076832488,0.1599958830461312,-0.45082523784697076,-0.5957315235577982,-0.5681018054926564,0.3288183745230901,0.25738198948759733,-0.1262012462568092,-0.14900884909524448,-0.29408996031319345
FCH4_F_ANNOPTLM,-0.3913297227501244,1.0,-0.3707357013389748,0.7988318552855412,0.7738934326834828,0.7878916993057159,0.04129943057742267,0.7230484767604021,0.6893758360198072,0.7245211686163283,-0.39981525165916015,-0.1844130697840194,-0.08301458707000264,0.6302655433737525,0.6344900228173401
WTD,0.25595079655300657,-0.3707357013389748,1.0,-0.5588471271503451,-0.5812899921981944,-0.49956237851567525,0.021265697836688795,-0.3513680035035168,-0.3014663184045873,-0.31682122996525963,0.1245314076634113,0.21054145580382483,-0.14152551366459176,-0.44053520011518027,-0.11400804970798031
TS_1,-0.42576557953984834,0.7988318552855412,-0.5588471271503451,1.0,0.995336662583889,0.903227752408883,0.023953588232530385,0.6563979745885391,0.7107498363490008,0.7239743521187787,-0.3614070868888102,-0.2556406447775617,-0.010696741732706473,0.710455238840608,0.5764841462424559
TS_2,-0.41126268808270083,0.7738934326834828,-0.5812899921981944,0.995336662583889,1.0,0.8885297626656626,0.025424447072441864,0.6317696923753376,0.6728985597566667,0.6844834443975064,-0.3358311713512329,-0.25899628629256494,-0.003741469420152774,0.709618343285026,0.5042551398367257
TA_F,-0.3679058076832488,0.7878916993057159,-0.49956237851567525,0.903227752408883,0.8885297626656626,1.0,0.04205225291929267,0.7426291712129097,0.6927493789116521,0.745853054930406,-0.3928001580151911,-0.16882486466086205,-0.09431230886242624,0.82242537140628,0.6491936715843423
P_F,0.1599958830461312,0.04129943057742267,0.021265697836688795,0.023953588232530385,0.025424447072441864,0.04205225291929267,1.0,-0.18342016339130615,-0.17470427452853532,-0.11355397663144502,0.2659361705854875,0.15695500957370237,-0.2783792548020351,0.21110560178511711,-7.715187689762436e-05
VPD_F,-0.45082523784697076,0.7230484767604021,-0.3513680035035168,0.6563979745885391,0.6317696923753376,0.7426291712129097,-0.18342016339130615,1.0,0.8236267997274159,0.7935967482492696,-0.8080538989982482,-0.1964576660850724,0.046990853146999814,0.38298229148875784,0.5595545469778873
SW_IN_F,-0.5957315235577982,0.6893758360198072,-0.3014663184045873,0.7107498363490008,0.6728985597566667,0.6927493789116521,-0.17470427452853532,0.8236267997274159,1.0,0.9625543919810122,-0.7067411622394392,-0.2632407285536373,0.08671548507768607,0.2687737394841238,0.682291365182154
NETRAD_F,-0.5681018054926564,0.7245211686163283,-0.31682122996525963,0.7239743521187787,0.6844834443975064,0.745853054930406,-0.11355397663144502,0.7935967482492696,0.9625543919810122,1.0,-0.6067959377116322,-0.2246218256149226,0.037733140232434716,0.4305384993563045,0.7117186459907056
RH_F,0.3288183745230901,-0.39981525165916015,0.1245314076634113,-0.3614070868888102,-0.3358311713512329,-0.3928001580151911,0.2659361705854875,-0.8080538989982482,-0.7067411622394392,-0.6067959377116322,1.0,-0.03277197085751281,-0.07784056895758017,0.050239148405634974,-0.39921813051603994
WS_F,0.25738198948759733,-0.1844130697840194,0.21054145580382483,-0.2556406447775617,-0.25899628629256494,-0.16882486466086205,0.15695500957370237,-0.1964576660850724,-0.2632407285536373,-0.2246218256149226,-0.03277197085751281,1.0,-0.32415331589069524,-0.0835083911709993,-0.1047413851617669
PA_F,-0.1262012462568092,-0.08301458707000264,-0.14152551366459176,-0.010696741732706473,-0.003741469420152774,-0.09431230886242624,-0.2783792548020351,0.046990853146999814,0.08671548507768607,0.037733140232434716,-0.07784056895758017,-0.32415331589069524,1.0,-0.17885490796165235,-0.0730768484746794
LW_IN_F,-0.14900884909524448,0.6302655433737525,-0.44053520011518027,0.710455238840608,0.709618343285026,0.82242537140628,0.21110560178511711,0.38298229148875784,0.2687737394841238,0.4305384993563045,0.050239148405634974,-0.0835083911709993,-0.17885490796165235,1.0,0.4441465199362669
G_F,-0.29408996031319345,0.6344900228173401,-0.11400804970798031,0.5764841462424559,0.5042551398367257,0.6491936715843423,-7.715187689762436e-05,0.5595545469778873,0.682291365182154,0.7117186459907056,-0.39921813051603994,-0.1047413851617669,-0.0730768484746794,0.4441465199362669,1.0
