,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,WTD,TS_1,TS_2,TA_F,P_F,VPD_F,SW_IN_F,NETRAD_F,RH_F,WS_F,PA_F,LW_IN_F,G_F
NEE_F_ANNOPTLM,1.0,-0.38330061363486706,0.2143905442937605,-0.3936726892288789,-0.3720531699528911,-0.32529560886150605,0.2710407328481664,-0.43457634318443944,-0.6034967623116332,-0.5522797868999201,0.3460997996551277,0.2466327120478599,-0.15413523233831838,-0.10590873163022572,-0.32468023143762575
FCH4_F_ANNOPTLM,-0.38330061363486706,1.0,-0.3453376666231094,0.873225474070784,0.8472354563134977,0.8768353326670392,-0.06090700073673997,0.732592153187462,0.7821983259244704,0.8107356871430068,-0.4757665343954823,-0.11411407540130836,-0.21340625334400634,0.6846780692446642,0.717001332739863
WTD,0.2143905442937605,-0.3453376666231094,1.0,-0.5597719081973629,-0.5899238368304528,-0.5105421776010003,0.07333422556255886,-0.37748818848501675,-0.3087223288588873,-0.3304883754663958,0.17886005267914118,0.21748666039502607,-0.12521644712302307,-0.4533153309955149,-0.11328648634509131
TS_1,-0.3936726892288789,0.873225474070784,-0.5597719081973629,1.0,0.9929449662818217,0.9001290499653276,-0.08192931317245054,0.6943802505662742,0.7112699605982612,0.7206448274245412,-0.3821553574489445,-0.21761042307405443,-0.038005159657448294,0.7235114914609084,0.5995337593614766
TS_2,-0.3720531699528911,0.8472354563134977,-0.5899238368304528,0.9929449662818217,1.0,0.8832499767510913,-0.06831152616044386,0.6687472145830583,0.6707315591404722,0.6813232028218199,-0.35637361429551107,-0.21944183153530042,-0.028233959889038446,0.7239587180779938,0.523161672189933
TA_F,-0.32529560886150605,0.8768353326670392,-0.5105421776010003,0.9001290499653276,0.8832499767510913,1.0,-0.06330694524310883,0.7659934026662446,0.7093454429047008,0.7634152031444892,-0.4246110681534951,-0.16073302727604502,-0.10303492599060318,0.8241212401496394,0.6898564858251597
P_F,0.2710407328481664,-0.06090700073673997,0.07333422556255886,-0.08192931317245054,-0.06831152616044386,-0.06330694524310883,1.0,-0.3662098766024325,-0.34430453755255214,-0.22855690081897753,0.4482332424929065,0.2695247400924498,-0.38288963513400076,0.18793428432753434,-0.138158353118758
VPD_F,-0.43457634318443944,0.732592153187462,-0.37748818848501675,0.6943802505662742,0.6687472145830583,0.7659934026662446,-0.3662098766024325,1.0,0.8497551102001938,0.7883752999702589,-0.8757444098254143,-0.127472956144649,0.03345530464587944,0.37260918367220935,0.6331090096890208
SW_IN_F,-0.6034967623116332,0.7821983259244704,-0.3087223288588873,0.7112699605982612,0.6707315591404722,0.7093454429047008,-0.34430453755255214,0.8497551102001938,1.0,0.9282984689267444,-0.7095941316394213,-0.25282729413787114,0.058161336313889214,0.29641565346305804,0.711290132372875
NETRAD_F,-0.5522797868999201,0.8107356871430068,-0.3304883754663958,0.7206448274245412,0.6813232028218199,0.7634152031444892,-0.22855690081897753,0.7883752999702589,0.9282984689267444,1.0,-0.5817093680276169,-0.20970425800108763,0.0068909034705256856,0.47503315155093784,0.7372119296230689
RH_F,0.3460997996551277,-0.4757665343954823,0.17886005267914118,-0.3821553574489445,-0.35637361429551107,-0.4246110681534951,0.4482332424929065,-0.8757444098254143,-0.7095941316394213,-0.5817093680276169,1.0,-0.019544846721392006,-0.07061439532581505,0.0009985299290177253,-0.44232884851125454
WS_F,0.2466327120478599,-0.11411407540130836,0.21748666039502607,-0.21761042307405443,-0.21944183153530042,-0.16073302727604502,0.2695247400924498,-0.127472956144649,-0.25282729413787114,-0.20970425800108763,-0.019544846721392006,1.0,-0.3022910011690171,-0.10302263201745522,-0.08315907456313507
PA_F,-0.15413523233831838,-0.21340625334400634,-0.12521644712302307,-0.038005159657448294,-0.028233959889038446,-0.10303492599060318,-0.38288963513400076,0.03345530464587944,0.058161336313889214,0.0068909034705256856,-0.07061439532581505,-0.3022910011690171,1.0,-0.15870030647613492,-0.09322563001789257
LW_IN_F,-0.10590873163022572,0.6846780692446642,-0.4533153309955149,0.7235114914609084,0.7239587180779938,0.8241212401496394,0.18793428432753434,0.37260918367220935,0.29641565346305804,0.47503315155093784,0.0009985299290177253,-0.10302263201745522,-0.15870030647613492,1.0,0.471751069474496
G_F,-0.32468023143762575,0.717001332739863,-0.11328648634509131,0.5995337593614766,0.523161672189933,0.6898564858251597,-0.138158353118758,0.6331090096890208,0.711290132372875,0.7372119296230689,-0.44232884851125454,-0.08315907456313507,-0.09322563001789257,0.471751069474496,1.0
