serie,n,shapiro_W,shapiro_p,normal_shapiro_5pct,dagostino_K2,dagostino_p,normal_dagostino_5pct,asimetria,curtosis_exceso
NEE_F_ANNOPTLM,1096,0.8982825977424824,2.5140207716300446e-26,no,246.22219536236756,3.4160924538166325e-54,no,-1.2142512080486039,2.6125034109872693
FCH4_F_ANNOPTLM,1096,0.7554507865419684,1.9782369170062763e-37,no,320.923680221292,2.0526187130395784e-70,no,1.5652175026738735,2.7640807263873377
WTD,1096,0.9543693327816557,5.7208331866743495e-18,no,58.37951133549706,2.1040215583227033e-13,no,0.5893320887201352,-0.23001420113409843
TS_1,1096,0.9078036623307892,3.2867473124130526e-25,no,9440.170747993214,0.0,no,0.17947909706501708,-1.4539080109695055
TS_2,1096,0.9035397213605201,1.0147987886038446e-25,no,8210.360362849504,0.0,no,0.1601689676425681,-1.4851863541862182
TS_3,1096,0.9015565069352565,5.95467764381774e-26,no,7781.589606730945,0.0,no,0.14367555825586054,-1.5002306359496544
TS_4,1096,0.9004868289542711,4.4819230096108627e-26,no,7656.03657530048,0.0,no,0.14007521357995045,-1.5051953375358749
TS_5,1096,0.901512286940461,5.884870158209662e-26,no,7699.464346614681,0.0,no,0.13631390625374773,-1.5034365286215279
residuo_STL_NEE,1096,0.6298245324538096,2.161499139332556e-43,no,231.1557537859465,6.385072535535279e-51,no,0.18494216797948568,12.151272286268902
residuo_STL_FCH4,1096,0.5401438403537281,1.0772129730452312e-46,no,561.0276316753391,1.4941619895961146e-122,no,-2.142981858565243,10.213387138318687
