model,fold,rmse_nee,mae_nee,r2_nee,nse_nee,kge_nee,rmse_fch4,mae_fch4,r2_fch4,nse_fch4,kge_fch4,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_sumidero,recall_sumidero,auc,tn,fp,fn,tp,train_time_s
Random Forest,0,1.0327061367369563,0.7491593933828122,-0.24951725599434504,-0.24951725599434504,-0.49141077841265224,68.75773928105497,56.495904650120785,0.1631597184321989,0.1631597184321989,-0.02456516865512781,0.6666666666666666,0.4542929292929293,0.39460403726708076,0.4542929292929293,0.41571084876629555,0.03278688524590164,0.022222222222222223,0.5674242424242424,117,15,44,1,1.95749869995052
Gradient Boosting (XGBoost),0,1.1035858694434297,0.839550859378117,-0.42692453263620167,-0.42692453263620167,-0.567334357690708,78.7771813591425,65.6000579855365,-0.09850053974614892,-0.09850053974614892,-0.18322875538811467,0.6666666666666666,0.5714646464646465,0.5685562015503876,0.5714646464646465,0.5697688790013595,0.3655913978494624,0.37777777777777777,0.6627104377104376,101,31,28,17,1.0119929000502452
SVR / SVM,0,0.9310316821238064,0.6724940158622774,-0.01558823771604989,-0.01558823771604989,-0.09048873581826711,91.21930544568244,83.25614895496778,-0.4728988445635878,-0.4728988445635878,-0.37765803822454735,0.7457627118644068,0.5,0.3728813559322034,0.5,0.42718446601941745,0.0,0.0,0.3042087542087542,132,0,45,0,0.035347500001080334
Stacking Ensemble,0,0.9595612661691498,0.7148517518951575,-0.07878316465719837,-0.07878316465719837,-0.2747220614291206,68.56915064276468,61.71759676827748,0.16774399181092392,0.16774399181092392,0.03607133956057684,0.423728813559322,0.4085858585858586,0.4306158957321748,0.4085858585858586,0.39105504587155965,0.25,0.37777777777777777,0.47676767676767673,58,74,28,17,15.056688900047448
CNN-LSTM,0,0.9499076559730631,0.7056452125708157,-0.05718628648708757,-0.05718628648708757,-0.6205218039834397,106.25427173012207,88.13385400243398,-0.9984449739358199,-0.9984449739358199,-0.5987888462074435,0.7457627118644068,0.5,0.3728813559322034,0.5,0.42718446601941745,0.0,0.0,0.7683501683501683,132,0,45,0,8.684683200030122
Random Forest,1,0.7422316967636138,0.4702424235379989,0.26502016395739525,0.26502016395739525,-0.5768892109822703,26.5882846136531,16.49116699681226,0.9149322223033258,0.9149322223033258,0.9096953686421202,0.5536723163841808,0.5123456790123457,0.7742857142857142,0.5123456790123457,0.378339927977593,0.04819277108433735,0.024691358024691357,0.8968621399176955,96,0,79,2,1.9657470000092871
Gradient Boosting (XGBoost),1,0.7156783786703302,0.46768530958381566,0.31666726699227976,0.31666726699227976,-0.4872073236131338,24.391942323744974,15.04526688836716,0.9284059025840563,0.9284059025840563,0.8921827101136622,0.6045197740112994,0.5688657407407407,0.751172607879925,0.5688657407407407,0.4930441898527005,0.2553191489361702,0.14814814814814814,0.8275462962962963,95,1,69,12,1.055738500028383
SVR / SVM,1,0.6885216982162621,0.4541086144874688,0.36754199559429,0.36754199559429,0.29773969574859005,38.66729082281991,24.721053049199533,0.8200831084701461,0.8200831084701461,0.6986449933494823,0.711864406779661,0.6938657407407407,0.7434593023255813,0.6938657407407407,0.6889922480620154,0.6046511627906976,0.48148148148148145,0.8909465020576132,87,9,42,39,0.06655839999439195
Stacking Ensemble,1,0.8660839478971182,0.5476654286184123,-0.0007288257155493305,-0.0007288257155493305,-0.646477784600741,32.31562836870922,23.479356465225848,0.8743363530067187,0.8743363530067187,0.7450302575141049,0.7853107344632768,0.7760416666666666,0.794848901098901,0.7760416666666666,0.7785168598524763,0.7397260273972602,0.6666666666666666,0.8986625514403291,85,11,27,54,17.071998300030828
CNN-LSTM,1,0.8253704690560799,0.5382346267401541,0.09114566986754047,0.09114566986754047,-0.4633265413922383,40.1637561526367,26.063935842891198,0.805887680446756,0.805887680446756,0.8452000616138279,0.864406779661017,0.871141975308642,0.8719072164948454,0.871141975308642,0.8644024514811032,0.8651685393258427,0.9506172839506173,0.8868312757201647,76,20,4,77,7.966888899973128
